sent-id,tokens,labels
989,"['Eine', 'sehr', 'bekannte', 'Alchemisten', 'war', 'Maria', 'die', 'Jüdin.']","[0, 0, 0, 0, 0, 0, 0, 0]"
990,"['Alchemisten', 'wollen', 'etwas', 'ver-bessern.']","[0, 0, 0, 0]"
991,"['Zum', 'Beispiel,', '\\newline', 'wollen', 'sie', 'kranke', 'Menschen', 'gesund', 'machen.']","[0, 0, 0, 1, 1, 2, 2, 2, 2]"
992,"['Alchemisten', 'haben', 'Athanoren', 'benutzt.']","[0, 0, 0, 0]"
993,"['Sue', 'haben', 'Schwarz-pulver', 'erfunden.']","[0, 0, 0, 0]"
994,"['Und', 'sie', 'haben', 'Porzellan', 'erfunden.']","[0, 0, 0, 0, 0]"
995,"['Alchemie', 'ist', 'ein', 'arabisches', 'Wort.']","[0, 0, 0, 0, 0]"
996,"['Alchemie', 'ist', 'Chemie.']","[0, 0, 0]"
997,"['Es', 'werden', 'Versuche', 'und', 'Experimente', 'gemacht.']","[0, 0, 1, 0, 2, 0]"
998,"['Damit', 'man', 'versteht', 'wie', 'etwas', 'funktioniert.']","[1, 1, 1, 2, 2, 2]"
999,"['Durch', 'Alchemie', 'entdeckt', 'man', 'neue', 'Sachen.']","[0, 0, 0, 0, 0, 0]"
1000,"['Zum', 'Beispiel', 'wie', 'man', 'Porzellan', 'macht.']","[0, 0, 0, 0, 0, 0]"
1001,"['Oder', 'wie', 'man', 'Gold', 'macht.']","[0, 0, 0, 0, 0]"
1002,"['Alkopops', 'schmecken', 'ähnlich', 'wie', 'Cola.']","[0, 0, 0, 0, 0]"
1003,"['Den', 'Alkohol', 'schmeckt', 'man', 'fast', 'nicht.']","[0, 0, 0, 0, 0, 0]"
1004,"['Meistens', 'werden', 'Alkopos', 'in', 'bunten', 'Flaschen', 'verkauft.']","[0, 1, 1, 1, 2, 0, 1]"
1005,"['Alcopop', 'ist', 'ein', 'süßes', 'Getränk.']","[1, 1, 0, 2, 1]"
1006,"['In', 'diesem', 'Getränk', 'ist', 'Alkohol.']","[0, 0, 0, 0, 0]"
1007,"['Aldous', 'Huxley', 'kommt', 'am', '26.', 'Juli', '1894', 'auf', 'die', 'Welt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1012,"['Aldous', 'Huxley', 'war', 'ein', 'Schrift-steller.']","[0, 0, 0, 0, 0]"
1013,"['Aleppo', 'ist', 'eine', 'sehr', 'alte', 'Stadt.']","[0, 0, 0, 1, 1, 2]"
1014,"['Menschen', 'haben', 'hier', 'schon', '3', 'Tausend', 'Jahre', 'vor', 'Christus', 'gelebt.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
1015,"['Im', 'Jahr', '2008', 'haben', 'ungefähr', '1,7', 'Millionen', 'Menschen', 'in', 'Aleppo', 'gewohnt.']","[1, 1, 1, 0, 2, 2, 2, 0, 0, 0, 0]"
1016,"['Die', 'meisten', 'Menschen', 'in', 'Aleppo', 'sind', 'Araber', 'und', 'Kurden.']","[0, 0, 0, 0, 0, 0, 1, 0, 2]"
1017,"['Das', 'heißt:', '\\newline', 'Die', 'meisten', 'Menschen', 'in', 'Aleppo', 'sind', 'Muslime.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
